t,roll_deg,pitch_deg,yaw_deg,err_roll_deg,err_pitch_deg,err_yaw_deg,geo_err_deg,bgx,bgy,bgz
0.0,39.98687407727566,36.31512009954636,59.2365625256699,39.98687407727566,15.10191666394992,29.236562525669896,38.89393558787641,0.001920767048200771,-0.0016871164259128608,0.000968867020791437
0.01,54.43638899971107,43.447818558207,50.04727536927756,36.80283143093689,13.817168340352865,25.776765538029125,32.451532454351266,0.0020474881818497532,-0.0015008479770881576,0.001064227757079982
0.02,51.14949856703621,41.960838199047856,25.25850318835412,22.617803078181606,15.230642473396825,15.987993357105683,24.148733668520894,0.0021751792299944473,-0.001187911989851674,0.0010528597574754367
0.03,34.05314199046647,29.381360326833928,-0.44378055512885084,5.521446501611874,15.761645334647534,8.826729276119577,17.895615653133497,0.00236899467669886,-0.0008303207116274378,0.0009196666832339544
0.04,12.911208539304605,11.742361044020551,-13.799263432643258,-4.7223490294696076,16.43539499522747,10.471246398605153,20.179262157648512,0.0026233692829205754,-0.00046385569894054975,0.0007126556430572795
0.05,-6.13014744143435,-1.850211668516318,-14.359255399763688,-6.130147441434346,19.362991767080107,15.640744600236324,24.813372509595577,0.0028661495881038986,-6.262093712552214e-05,0.0005197356905123464
0.06,-16.810803112321288,-6.275449827393419,-4.914239683713358,0.8227544564529022,23.35520039046072,19.356270147535067,30.42146783655089,0.003068896123043891,0.0003316177261737155,0.0004254536731873636
0.07,-16.046001258058432,-1.6289996562693283,12.590908549696072,12.48569423079617,25.1011960693817,21.861418380944496,37.23865456654952,0.0032713750563097485,0.0006336321433253135,0.00038869224079267844
0.08,-4.950305751515807,8.692647274403248,34.05505118193637,23.58138973733881,22.312362266589652,24.784541350687963,41.17325620002085,0.003486938231353637,0.0007889931033873615,0.0003673237471049532
0.09,13.721240139025452,21.643416017720735,51.51514015285935,31.354797707799666,16.950382066513818,27.244630321610945,39.898728470746676,0.00367470129461514,0.0008121155039925149,0.0003807451109943744
0.1,35.04547361392706,33.611707463192914,57.491889975264414,35.04547361392707,12.398504027596507,27.491889975264407,34.96579778719947,0.0038006480374742457,0.0008282104470822444,0.0004644079884262608
0.11,49.75569576931419,40.163026690886404,48.01666142890937,32.12213820053999,10.532376473032281,23.74615159766095,28.605600803566695,0.0038830672638809197,0.0009682547093102199,0.0005531854209298224
0.12,48.801105366597994,37.6014983722378,24.84125092880332,20.269409877743392,10.871302646586761,15.570741097554892,20.764674242133715,0.003971489169687144,0.0012348386362026488,0.0005541155520687524
0.13,34.28597593594544,24.736115582383896,0.7407027351875831,5.754280447090827,11.116400590197502,10.011212566435997,14.782057347904466,0.004145659206822201,0.0015486059895202017,0.00045089314053370095
0.14,14.185755031671087,7.336165861984076,-12.509397504156198,-3.4478025371031187,12.029199813191019,11.761112327092214,17.21024292932257,0.004403524073583677,0.0018643509076759707,0.00026671374718455015
0.15,-4.831830309267806,-6.170855622537682,-13.371706292734462,-4.831830309267813,15.042347813058754,16.628293707265545,22.047530379377086,0.004658086370159414,0.002209264714398912,7.86910351970859e-05
0.16,-16.24617755807161,-10.676464458748823,-3.914518737782061,1.3873800107025782,18.9541857591053,20.355991093466354,28.129557722689658,0.004871695661642231,0.0025476455061301567,-3.0994085521256155e-05
0.17,-16.836168457197314,-5.918307969228878,13.73330707771951,11.69552703165729,20.811887756422145,23.00381690896794,35.2436969856499,0.005075414041133642,0.0027937842343610892,-9.06990075443242e-05
0.18,-7.225994758110988,5.044639175787367,34.88196147368976,21.305700730743627,18.66435416797377,25.611451642441356,39.0230413409062,0.0052732604211851485,0.0028972411510198985,-0.00013085227030651376
0.19,10.337698638883593,18.86151135281641,51.449167372644496,27.9712562076578,14.168477401609472,27.178657541396074,37.26731067524659,0.0054257712653266905,0.0028757200134982854,-0.0001303143326896666
0.2,31.064424089089222,31.180993355098266,56.471173610057456,31.064424089089233,9.96778991950182,26.47117361005745,31.93960261445194,0.005508926147138152,0.002852355388321763,-6.031482432018049e-05
0.21,46.10390466482258,37.24362114456565,46.84444039798311,28.47034709604841,7.612970926711524,22.57393056673468,25.69223624957013,0.005548231918316201,0.002954223712323148,2.2920261176209136e-05
0.22,46.99676876327587,33.86380747688264,24.889402516408264,18.465073274421265,7.133611751231615,15.618892685159812,18.501171222241116,0.0055960466830729545,0.003182674108862571,3.393472021011185e-05
0.23,34.46231020575417,20.784771821391097,1.9027374278896378,5.930614716899542,7.165056829204706,11.17324725913799,13.108057852543856,0.005749494364801559,0.003458279764216826,-4.297249250779981e-05
0.24,15.246105264061407,3.584726788124563,-11.320785719994788,-2.3874523047128173,8.277760739331505,12.949724111253651,15.523911825510206,0.006006391514947761,0.0037321856321702864,-0.0002038407266553708
0.25,-3.7123301124492474,-9.843375766575992,-12.438099981920509,-3.7123301124492745,11.369827669020449,17.561900018079502,20.380150519627584,0.00626907780480716,0.004028540511889952,-0.00038901670823925566
0.26,-15.749002991973201,-14.418980085924055,-2.9297798692851686,1.8845545768009726,15.211670131930077,21.340729961963245,26.79336826865094,0.006488380054473669,0.0043191765013110795,-0.0005107374975672831
0.27,-17.5101938342665,-9.566683606093491,14.918881058782464,11.021501654588109,17.163512119557556,24.189390890030953,34.0727103400327,0.006690804581348736,0.004516114937286493,-0.0005865442758164999
0.28,-9.133404973154676,1.9361541175650103,35.866203400231,19.39829051569994,15.5558691097514,26.595693568982547,37.65046015137495,0.006873129267936991,0.004571750187733932,-0.0006429545922736807
0.29,7.5587194524908705,16.448732580131278,51.70935441779311,25.192277021265067,11.755698628924351,27.43884458654472,35.4266859520186,0.0069930844933818025,0.004510776662739781,-0.000651385708256068
0.3,27.84990788807411,29.015701656447618,55.96388225477039,27.849907888074135,7.802498220851181,25.96388225477039,29.719229626600214,0.00703753688273048,0.004458550753478283,-0.0005908868034270718
0.31,43.22855281620379,34.672661753777994,46.26198479188641,25.594995247429615,5.04201153592385,21.991474960637923,23.63024757203029,0.0070408465216284305,0.004529008786284922,-0.0005136077745908675
0.32,45.58699108908117,30.665378667535105,25.240649408701962,17.055295600226575,3.935182941884086,15.970139577453558,17.26603935436663,0.007060633612388794,0.004723329373787299,-0.0004916634352982098
0.33,34.61491582541732,17.42433591320895,3.0471588020741533,6.083220336562697,3.8046209210225475,12.317668633322493,12.762920324878607,0.007191818700583215,0.0049677992946025335,-0.0005465526586059665
0.34,16.153276932953776,0.39826022408843936,-10.202445273965477,-1.4802806358204343,5.0912941752953715,14.068064557282943,14.977283127375605,0.007444697116874104,0.0052053690493553476,-0.0006851544523575877
0.35000000000000003,-2.728316491332076,-12.954309167214655,-11.547963730720134,-2.7283164913320017,8.258894268381843,18.452036269279862,19.643430221917026,0.007714832730417307,0.005457473417001566,-0.0008644504291805181
0.36,-15.304385124353667,-17.588220912745467,-1.9643350148591487,2.3291724444205246,12.042429305108678,22.306174816389277,26.225697735997407,0.007942513096340954,0.005704055124627608,-0.0009978488638686756
0.37,-18.084020138786933,-12.658362728821833,16.123758443009034,10.447675350067678,14.071832996829201,25.39426827425753,33.554608283155254,0.008143377454070067,0.0058604343275552185,-0.0010909816010945437
0.38,-10.737340269893297,-0.7034554491820249,36.947762459344204,17.794355218961325,12.916259543004372,27.67725262809577,36.90341047759018,0.008312551201299303,0.005875852869034662,-0.0011603303628587782
0.39,5.259654097672937,14.368837441465542,52.20284595389629,22.893211666447144,9.675803490258616,27.932336122647907,34.244564883534544,0.008407391270327526,0.005783213234085609,-0.001178894299271464
0.4,25.228070492108536,27.11983831008338,55.840125956114534,25.22807049210856,5.906634874486957,25.840125956114512,28.19440735655567,0.00842290200133171,0.005704031499459406,-0.0011273582912538296
0.41000000000000003,40.932104792513684,32.440072236902076,46.100698612925314,23.298547223739433,2.8094220190479176,21.83018878167698,22.310314461892496,0.008391150167385548,0.005748786842331708,-0.0010540545637073209
0.42,44.473558585141184,27.941732982685924,25.802602439260387,15.941863096286575,1.2115372570348952,16.532092608011975,16.895408021177104,0.008383660329762926,0.005913146514645919,-0.0010238995423138605
0.43,34.74587419063744,14.579657806905761,4.1846853351628885,6.214178701782828,0.9599428147193517,13.455195166411237,13.404075750766177,0.008499466598256624,0.006129861350225421,-0.00105917802021162
0.44,16.92740131626335,-2.298547111340417,-9.117760893776078,-0.706156252510875,2.3944868398665125,15.15274893747236,15.313281997464241,0.00874875573749808,0.00633648304976408,-0.0011804855472575698
0.45,-1.862626452856316,-15.587067698650323,-10.667596251894583,-1.8626264528563454,5.626135736946088,19.33240374810542,19.64152655250939,0.009020638785901857,0.006554099843532829,-0.0013529694234497719
0.46,-14.893849780246622,-20.279187961575836,-1.0046216509388621,2.739707788527538,9.35146225627829,23.265888180309567,26.244911270416218,0.009250225581646664,0.006765165959037482,-0.0014916299389784312
0.47000000000000003,-18.565041852236238,-15.29086353197387,17.336248010201516,9.966653636618387,11.43933219367711,26.60675784144981,33.530967968320944,0.009450689562324543,0.0068879701685554085,-0.0015976374088526773
0.48,-12.091433285381427,-2.9564853618573452,38.09331308085254,16.440262203473175,10.663229630329063,28.822803249604107,36.64349016259385,0.009610409545468343,0.006869451140351069,-0.0016801587378668314
0.49,3.3464918014917293,12.57345880837667,52.863443327318834,20.98004937026596,7.880424857169757,28.592933496070476,33.595166802596324,0.009684261194304628,0.006749903484618239,-0.0017060223555526001
0.5,23.080428040803728,25.4588480433591,55.99911984769068,23.08042804080377,4.245644607762746,25.999119847690682,27.256347911416306,0.009672721626151641,0.006649379477771558,-0.0016622907194982026
0.51,39.075541144876745,30.50097255594853,46.244797814095826,21.441983576102487,0.8703223380943853,21.974287982847464,21.610937907823885,0.009616908133643548,0.0066713782542302215,-0.0015933163204508091
0.52,43.58376405812629,25.60737015391638,26.509981519954763,15.052068569271697,-1.1228255717347095,17.23947168870636,17.16824198815703,0.009583257345597637,0.006814672891380656,-0.0015576012364743109
0.53,34.87016412588508,12.154760407677433,5.3165235293800475,6.338468637030484,-1.464954584508988,14.587033360628574,14.616412246742014,0.009685386348887118,0.00700822819116162,-0.001574817332623453
0.54,17.60251774226754,-4.590442368683659,-8.057930413616408,-0.031039826506684423,0.10259158252315441,16.212579417632025,16.210419317057127,0.009933039413657602,0.0071864325547965745,-0.0016802101988516419
0.55,-1.097141682414662,-17.820337515888074,-9.786579499443002,-1.0971416824145972,3.3928659197083495,20.213420500556996,20.15803737005925,0.01020891054708845,0.007372935639363357,-0.0018494078192715356
0.56,-14.523715332132547,-22.56233531213925,-0.03591212388939141,3.1098422366416103,7.06831490571487,24.23459770735903,26.691155499617068,0.010441247560622017,0.007552185876457844,-0.001995478308814569
0.5700000000000001,-18.96815337805308,-17.5258429638634,18.556062977853266,9.563542110801544,9.204352761787648,27.82657280910159,33.8788375923058,0.01063871618021631,0.007643850047431741,-0.0021112854359943427
