t,roll_deg,pitch_deg,yaw_deg,err_roll_deg,err_pitch_deg,err_yaw_deg,geo_err_deg,bgx,bgy,bgz
0.0,19.23066917286514,1.5048531694899934,20.53569488396796,9.230669172865142,1.50485316948999,20.535694883967967,22.433512408140498,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.01,19.0716007546211,1.479898436978126,20.53667194387944,9.071600754621112,1.479898436978126,20.336672146957355,22.190214204011927,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.02,18.91750438673554,1.4569611375469724,20.536848268529255,8.917504386735535,1.4569611375469846,20.136848674685083,21.94822296257415,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.03,18.765086055503588,1.4323551122031342,20.543788498429606,8.765086055503579,1.4323551122031364,19.943789107663328,21.71314876687522,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.04,18.61689059645375,1.4092818116862018,20.5575164180284,8.61689059645376,1.4092818116862014,19.757517230340042,21.485996179115343,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.05,18.469409022278416,1.3862354060000954,20.564256786747062,8.469409022278423,1.3862354060000832,19.564257802136595,21.25283851273457,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.06,18.32564741194448,1.3641693326677762,20.579644408870394,8.32564741194448,1.364169332667764,19.379645627337858,21.029103553537578,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.07,18.18806498653669,1.3424293241632015,20.598689619599202,8.188064986536693,1.3424293241632066,19.198691041144563,20.811164409964068,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.08,18.05257143159019,1.321468543067319,20.621371436616577,8.052571431590199,1.3214685430673179,19.021373061239846,20.597436920751754,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.09,17.919835445759773,1.3011965266788164,20.64726421917625,7.919835445759777,1.3011965266788046,18.847266046877433,20.387785148074673,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.1,17.787576836243804,1.2795818901744327,20.67752250167708,7.78757683624381,1.279581890174427,18.677524532456165,20.18242068873894,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.11,17.657481289246668,1.262070320982418,20.713663394080204,7.657481289246661,1.2620703209824078,18.513665627937197,19.98338056232434,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.12,17.53091900836817,1.2439035678785129,20.74548207990646,7.530919008368177,1.243903567878509,18.345484516841367,19.78177188604795,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
0.13,17.405359555105008,1.2260656013047564,20.773519337052686,7.405359555104999,1.2260656013047653,18.1735219770655,19.57713669136349,0.0017453292519943296,-0.0017453292519943296,0.0008726646259971648
