t,roll_deg,pitch_deg,yaw_deg,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,mx_uT,my_uT,mz_uT
0.0,10.0,0.0,0.0,0.007338076251689345,0.054794020834557124,0.348106299486804,0.2154373884689744,-1.7969252630059758,-9.352548493390218,37.7064923218822,1.3657487619053748,45.75306912261922
0.01,9.999999999999996,0.0,0.19999979692209127,0.008048716822340403,0.055068061962884066,0.34704881004125687,0.2066067588900539,-1.78919314046543,-9.336931975768108,37.61222688999941,1.234441909546617,45.84659400868347
0.02,9.999999999999998,0.0,0.39999959384418265,0.00895095926000722,0.05432191890410502,0.34730864158337516,0.22103257201900828,-1.7995687829768148,-9.338947985847513,37.60410681914265,1.2992987197994883,45.80569656070296
0.03,10.000000000000002,6.212020862233431e-18,0.5999993907662741,0.008039761765975387,0.05427855333078731,0.34696494850187337,0.20453224265690476,-1.7957311136764207,-9.347881021164179,37.57576241339167,1.065911147695155,45.91707641807961
0.04,10.0,-1.2424041724466862e-17,0.7999991876883653,0.00887816282534869,0.05450964388489618,0.34723146366156094,0.21425248268653557,-1.7996307094298165,-9.338909081087499,37.429205614490684,0.8595821453630453,45.808606047297886
0.05,10.000000000000002,-2.4848083448933725e-17,0.9999989846104569,0.008963985431862644,0.05496787611427355,0.3477722234124585,0.20161104638829574,-1.7818001760100415,-9.341115302941006,37.52659745444181,1.0322242571032603,45.88927115580046
0.06,10.0,0.0,1.199998781532548,0.009290599063686353,0.05550079263696053,0.34690785719339806,0.20536674216911485,-1.7863501684899687,-9.33729240961023,37.47455040637662,0.730569014425941,45.819284352273634
0.07,10.000000000000002,-2.4848083448933725e-17,1.3999985784546398,0.008656121890878804,0.05453614478324538,0.34722095891620014,0.2111745950658711,-1.8159334716457436,-9.330133040609319,37.56796146008209,0.7374383518961908,45.93610042762553
0.08,9.999999999999998,0.0,1.5999983753767306,0.008609476737454443,0.05482239906263865,0.34735999281676094,0.21268100764463255,-1.8149650241627706,-9.351149094393245,37.51363137255046,0.5870776416123982,45.9295095719377
0.09,10.0,0.0,1.7999981722988225,0.008051043359986113,0.05447821058141518,0.34771945073785115,0.2160228814378295,-1.8133241235853939,-9.326385312372787,37.33928979248682,0.5208772342827431,45.965639642520344
0.1,9.999999999999998,0.0,1.9999979692209133,0.00789802295185341,0.055057182433109135,0.34722099118156285,0.19728464826816106,-1.798750315257546,-9.332620801229584,37.34134539875226,0.2987502141202375,46.0501253047266
0.11,10.0,0.0,2.1999977661430044,0.008421021610379458,0.054714136348224106,0.34761124213312966,0.22959329098075867,-1.7886564912925036,-9.324154623698071,37.45614280142795,-0.0012861771726067062,46.13662486248279
0.12,10.000000000000004,0.0,2.3999975630650963,0.008522972718522098,0.05486302677997329,0.346936376723324,0.21666869272130576,-1.801343837879365,-9.345192008698222,37.502559142206714,0.16518698209664917,46.16339281574034
0.13,10.000000000000002,-4.969616689786745e-17,2.5999973599871873,0.007911079649590055,0.05469145751634035,0.3474962682956829,0.212861105605523,-1.7889976245750965,-9.330977762626983,37.218302524641246,0.283803606430903,46.01785970439706
0.14,10.000000000000004,0.0,2.799997156909279,0.007899949146007492,0.05481463987413781,0.3466383552173062,0.20438683754333276,-1.7981724798832894,-9.348653314034934,37.366345864577966,-0.21615291215422272,45.947937419774256
0.15,10.0,0.0,2.9999969538313693,0.0085762381754541,0.054660407901934334,0.346706665134459,0.21367915072403038,-1.8102478781178628,-9.356206971565584,37.36955684495279,-0.16998769997324503,45.97049377334021
0.16,10.000000000000002,0.0,3.1999967507534617,0.00857891998335519,0.05461787000144274,0.3475701363049147,0.20901036423065392,-1.7851765586409374,-9.341561942915726,37.17577962147163,0.13968496624959129,46.14962056195241
0.17,10.000000000000004,0.0,3.399996547675554,0.008450714546662508,0.05474567319311527,0.34692242830476183,0.20397961644088095,-1.7972663154919282,-9.349686040610605,37.213013981047204,-0.2508006147175495,45.88473198846147
0.18,10.0,-4.969616689786745e-17,3.599996344597644,0.00861018946511211,0.05448047919854977,0.3472715050538726,0.2113159731706076,-1.7984302377719232,-9.345707425916755,37.29555960770274,-0.3792452592054295,46.3639240071346
0.19,10.000000000000004,-4.969616689786745e-17,3.799996141519737,0.00880346068785645,0.05456941642901714,0.3475986213591393,0.21731495151668656,-1.813525975988808,-9.33868324439417,37.070164478183685,-0.5284912907324523,46.415197673497424
0.2,10.000000000000002,-9.93923337957349e-17,3.999995938441829,0.0090154395375561,0.054683999661023656,0.34678631407179455,0.22111058072063475,-1.7982501534397066,-9.35190214696686,37.14963215434327,-0.5248179481252364,46.16439275956534
0.21,10.0,0.0,4.199995735363919,0.008404922540497706,0.05514335617785285,0.3476594112011594,0.22242030367948337,-1.8007118509333653,-9.341143933679087,37.08677955422099,-0.619104758133436,46.24815791955574
0.22,10.0,-4.969616689786745e-17,4.3999955322860105,0.009029751547270195,0.05488355094435352,0.34721424173627485,0.20076685624731094,-1.7999809757693035,-9.337996021145042,37.147781362045066,-0.610209999931274,46.16755221468978
0.23,10.0,-9.93923337957349e-17,4.5999953292081015,0.008719621377087379,0.054913062378907564,0.3465124244364576,0.22232563358281132,-1.797553676492399,-9.34276669549095,37.030955161981474,-0.795008511065738,46.24539653962406
0.24,9.999999999999996,-4.969616689786745e-17,4.7999951261301925,0.0088875998320685,0.055100347492940994,0.34746733435202537,0.22078310629161846,-1.804634801267731,-9.336381211756581,36.92589364966865,-1.0702863016913893,46.299471524370716
0.25,9.999999999999998,0.0,4.999994923052284,0.008528147358772902,0.05556984929990378,0.34696793954474414,0.21842339728924795,-1.804031514208523,-9.336875623589526,37.03233143542812,-1.0039510826358566,46.29388965211998
