t_s,mx_uT,my_uT,mz_uT
0.0,37.35700055844486,-5.460385574592753,45.8060312773517
0.001,37.47770552030457,-5.485175523290109,45.89759095290325
0.002,37.33939379858933,-5.346229704152888,45.88023625272377
0.003,37.31866225599282,-5.052416949873859,45.99816118497366
0.004,37.25359904482734,-5.002389262171261,46.105676186489646
0.005,37.15116529751813,-4.819980604905414,46.092845801869785
0.006,37.12333726334024,-4.876044556335763,46.30832775125219
0.007,37.20290359018018,-4.739060722441893,46.2744120482507
0.008,37.05785390607802,-4.555020469071605,46.22640594719804
0.009000000000000001,36.87681312537091,-4.365449601096656,46.40876183579295
0.01,37.166560759209844,-4.3736575651208245,46.235678574293665
0.011,36.81927751221402,-4.161107976214669,46.37577972898737
0.012,36.792847375570496,-4.000622785815542,46.33345487729857
0.013000000000000001,36.74507975929698,-4.0042280421555825,46.467058530888714
0.014,36.588822240420605,-3.7726392559184108,46.55445178044658
0.015,36.82033625118512,-3.7175220128101567,46.411852935303024
0.016,36.617663387380624,-3.4441245783697667,46.54179567548645
0.017,36.38173451057918,-3.348413728399319,46.59609519923986
0.018000000000000002,36.56323535770547,-3.2621712606196187,46.647921550530306
0.019,36.32010178258078,-3.2536649318093307,46.721690053286
0.02,36.44663530168766,-2.8340352408359046,46.65597289130122
0.021,36.34313517523889,-2.889796396338861,46.75120857768771
0.022,36.45066481277971,-2.671317241127986,46.86943453031327
0.023,36.16195428496372,-2.7879561554498236,46.9885512115432
0.024,36.0307758022659,-2.490879260912919,46.70536138542334
0.025,36.122165381900146,-2.5431963443089893,47.07443467785685
0.026000000000000002,35.88455882078946,-2.2439147931905556,46.90597069076425
0.027,35.88594866391226,-2.1321783600450024,47.03931857429017
0.028,35.91059257066112,-2.0018586410706556,46.86458695449865
0.029,35.640349059215026,-1.8156370222382834,47.04801013630399
0.03,35.6992818364653,-1.7617694351327005,47.078854050973604
0.031,35.82128512458028,-1.4455791541604337,47.17094470435648
0.032,35.63694557965875,-1.4283046898423315,47.08691047288842
0.033,35.659414274738495,-1.4673015665161366,47.14022128293768
0.034,35.66694713106107,-1.2155352303921458,47.22307034485994
0.035,35.557300523399185,-1.05410359616418,47.32961311692722
0.036000000000000004,35.35824192043699,-1.2109234355756004,47.2685733900172
0.037,35.33063167782172,-0.8572787179746441,47.213360283322864
0.038,35.35521457147361,-0.6990239144735249,47.362475280160176
0.039,35.36580850082426,-0.713704661552411,47.531899788138674
0.04,35.23524763726008,-0.32889922135405536,47.32755859353684
0.041,35.190076999386214,-0.4527558385524819,47.44297674865583
0.042,35.15305173396089,-0.10475639278142858,47.19247501433019
0.043000000000000003,34.95364990040097,-0.13388421329036035,47.566610085683415
0.044,35.040306906587006,0.1721043030310796,47.43172594506482
0.045,34.966324716824055,0.3286782527084812,47.68635391880764
0.046,34.905976476343504,0.2647590411193472,47.51300166682282
0.047,34.58427157962642,0.3375588374771562,47.5632824312023
0.048,34.64812999733067,0.44934354702479373,47.55335057616973
0.049,34.54030613669869,0.7182695276694121,47.592944682800855
0.05,34.61555556141433,0.8510397062837047,47.60443777406658
0.051000000000000004,34.47245600331022,0.798558493332415,47.71986607436044
0.052000000000000005,34.611050189647585,1.2012474536024786,47.57377820739648
0.053,34.41644006854534,1.1780773389461168,47.916199741792745
0.054,34.284296094256206,1.3959802290926753,47.77055755016417
0.055,34.15063330727116,1.748608740913471,47.900041248642346
0.056,34.1338876978282,1.661468638070099,47.796167269720335
0.057,34.097641560384105,1.734001942051696,47.6504471477743
0.058,34.015302525342314,1.9818714757370635,47.89976467676592
0.059000000000000004,34.04508084840781,2.0899044897343773,47.79877141618447
0.06,33.715248030807324,2.365409469388349,47.67198642110371
0.061,33.900444753649076,2.180188395997918,48.03587048705204
0.062,33.73628979278832,2.3501278493061646,47.78731534205184
0.063,33.63415903063238,2.595478559759358,47.98280869154418
0.064,33.5837573755311,2.5305440315080965,47.96729989938602
0.065,33.65172640313677,2.870019367769965,47.90515844433475
0.066,33.6039013955252,2.991038068757524,48.00810291074155
0.067,33.44821170719936,3.0902888453380157,48.03520236914841
0.068,33.44941784239292,3.111781047395462,48.14079283607578
0.069,33.26102576064365,3.331545452784423,48.09303451862379
0.07,33.00829691590961,3.5807018800570627,48.161203731984855
0.07100000000000001,33.231871876208984,3.674752048615201,48.086452270274144
0.07200000000000001,33.05370923589607,3.672443653458987,48.04246462299993
0.073,33.10110740680836,3.9506047296438163,48.28211015895326
0.074,32.79606728635742,4.043976939745172,48.28254946534357
0.075,32.9709007780368,4.034422701577704,48.22796803227254
0.076,32.95248242163019,4.124794769319534,48.08465315433392
0.077,32.86630019712011,4.273839637595017,48.112623140203304
0.078,32.66778533696025,4.400593082829003,48.30258421572938
0.079,32.59290148965863,4.706403163591289,48.30760424287428
0.08,32.50861439790148,4.927855270898225,48.12392594502065
0.081,32.34852607395278,4.761788726558756,48.131301152277146
0.082,32.281999189126545,5.0596307930071305,48.33181674016104
0.083,32.29493951626501,5.061792760522992,48.27819240840101
0.084,32.26600344598481,5.313646769634555,48.31373410652031
0.085,32.046996606999606,5.532504609039043,48.421382548953034
0.08600000000000001,32.201430662902624,5.664747497300186,48.42421339980359
0.08700000000000001,31.846950733225093,5.849300388452438,48.37502754251533
0.088,31.835378278659395,5.799358130896356,48.36011214178238
0.089,31.865468838145418,6.0397174336437525,48.40006782645903
0.09,31.778453444625786,5.971112788712363,48.552024593421464
0.091,31.632683684583732,6.160894075539742,48.50096701977817
0.092,31.659946599623293,6.514896456033243,48.467184340992866
0.093,31.459061265853936,6.3329759434883925,48.68954028015197
0.094,31.445371044124737,6.725336066303261,48.49079915894564
0.095,31.36136831822604,6.731588957710095,48.45104399544514
0.096,31.33194692608765,6.689484720169494,48.56249604515269
0.097,31.237268392953137,6.987655222292332,48.44445825467933
0.098,31.04497471052379,7.1418638053201375,48.60325922564441
0.099,31.0749000801398,7.287163747236137,48.63644104038383
0.1,30.841191839744692,7.3923972597768435,48.44043421194648
0.101,31.03771398975112,7.564411125492701,48.34331465324052
0.10200000000000001,30.68881031605019,7.668060558644469,48.388901686808424
0.10300000000000001,30.645541740635963,7.855488795815783,48.54850942540987
0.10400000000000001,30.674155035688322,7.689449374066403,48.636794353943536
0.105,30.605720280765638,8.11120893453731,48.540508885583115
0.106,30.446312358162633,8.05018894785973,48.445256500213894
0.107,30.461144668439246,8.300973822039829,48.564352368133086
0.108,30.262393879658088,8.321081899648219,48.57283729004384
0.109,30.1307091875605,8.469016730201128,48.57296631508376
0.11,30.16042716070416,8.825419790412402,48.60723034061977
0.111,30.18155210775585,8.82318961061552,48.65668206581492
0.112,29.86420211552364,9.073245247557084,48.659177890095975
0.113,30.150963493226207,9.132110270848663,48.539936329062
0.114,29.70843024743847,8.991976295338393,48.60348245281503
0.115,29.79234901007834,9.454329031524743,48.65712156683738
0.116,29.458849976270482,9.461520494630808,48.527956961358804
0.117,29.49534524946004,9.648374057890038,48.67848697806936
0.11800000000000001,29.288116237272636,9.68431989056083,48.58312360071828
0.11900000000000001,29.467917514323453,9.915873929364862,48.68739129358993
0.12,29.253549175651894,9.974089036810264,48.50128865806522
0.121,29.207728637959562,10.035619922117222,48.659508965651554
0.122,28.883825886478377,10.317108574992105,48.52868027363433
0.123,29.28329315011791,10.451867866699363,48.698415615940974
0.124,28.88889582189815,10.310608640414989,48.54345857337385
0.125,28.894739770236896,10.543462081293132,48.49027665405658
0.126,28.656822185611734,10.514666424867873,48.661385595857745
0.127,28.752179113085198,10.757571702282922,48.52940402359421
0.128,28.44031101951046,10.835656344139453,48.60008872882139
0.129,28.34715722196002,11.104771525359546,48.565280706930004
0.13,28.28899878459128,11.336490444653522,48.63664989239781
0.131,28.269801175090997,11.273418273895674,48.673314389640375
0.132,28.323778085039,11.41576139142412,48.675975810533515
0.133,28.096858139609434,11.588843600401551,48.68303338776586
0.134,27.93985919448782,11.826778265148734,48.62161194611207
0.135,27.721689395981162,11.89808640326811,48.72737625915325
0.136,27.867036337880005,11.784233219840802,48.61604642276755
0.137,27.794788693422213,12.128144362775087,48.60273974425164
0.138,27.416393830242292,12.251629544866585,48.624190560726205
0.139,27.493226020660092,12.291689695587685,48.521617544478836
0.14,27.388669825160104,12.484568219809667,48.651353756073924
0.14100000000000001,27.358146389702192,12.650946399384237,48.45304812486465
0.14200000000000002,27.249556773866782,12.735487282939973,48.449992975929106
0.14300000000000002,27.283727805968,12.872357108020976,48.59332309010059
0.14400000000000002,27.090636400664334,12.781343688952088,48.35213760182607
0.145,26.981603410302334,12.922892474690604,48.536735069512716
0.146,26.76866738326407,13.291451208909125,48.371575309160214
0.147,26.653464773411365,13.348268922375238,48.455786433019156
0.148,26.748765832388703,13.329355249719994,48.65531598426105
0.149,26.37786707903841,13.383987357498782,48.53974760677468
0.15,26.454194877945625,13.62296328768622,48.531343138629026
0.151,26.408990862467316,13.737015141122814,48.66292601813206
0.152,26.375170577416732,13.948487989788173,48.63856328004131
0.153,26.07301222226416,14.21310365408089,48.6398454546494
0.154,26.027899108021703,14.234784209096375,48.306618597865956
0.155,25.815954503434625,14.413018052644803,48.542649558034064
0.156,25.83195259813551,14.598352305844786,48.329860076100346
0.157,25.83232803904517,14.62088681780117,48.54893203948816
0.158,25.653556245505825,14.86453122779131,48.46339666837369
0.159,25.54532346213562,14.965369896188331,48.471135795822384
0.16,25.47128563009165,15.04145116500749,48.414529763456244
0.161,25.219927831634724,14.985487851560727,48.259245382961026
0.162,25.362115226842388,15.129857349918984,48.53032376191386
0.163,25.152349695274502,15.34616337734528,48.36339869864967
0.164,25.147468446994765,15.447167857358645,48.23248454658658
0.165,24.916876895448297,15.517146254547567,48.25568398471459
0.166,24.821735387155375,15.430994322615373,48.3331613339808
0.167,24.67502386046347,15.760832894974556,48.4077361743053
0.168,24.707759332915707,15.860479117527621,48.31299663851879
0.169,24.451009854745056,15.804921375955933,48.23863787360361
0.17,24.284122461426197,16.137381518637905,48.27536420383156
0.171,24.451977044277935,16.506822809058157,48.279209114641056
0.17200000000000001,24.182671987571684,16.28386246157084,48.34638147617803
0.17300000000000001,24.19371193517196,16.408879760419236,47.99372980130841
