t,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,mx_uT,my_uT,mz_uT
0.0,0.008583926154489606,-0.005675660289677692,0.002865836179803892,0.219852564531194,-0.10266925208787446,-9.494411896627488,37.55187839561505,-5.628736630867156,45.97265427966304
0.01,0.008233084293846643,-0.005430483458606976,0.0032200252952136114,0.2040068628964892,-0.0855282985171705,-9.490887062959697,37.450594615928054,-5.600448256379966,45.97456485954771
0.02,0.00880427841112109,-0.0053937960887663885,0.0036528883216525453,0.202113980616414,-0.10541119274748414,-9.500420216018261,37.43292526814706,-5.803341371101355,45.96776625233954
0.03,0.009177546038011353,-0.005014707929540386,0.003226058564695132,0.21581625763568357,-0.08792853489238962,-9.484113180629238,37.48506990514063,-5.402642523836791,45.96212222412638
0.04,0.008771403553240143,-0.006029616771787432,0.004194807972587209,0.22138803871345822,-0.09829740085633687,-9.504498034895361,37.305545053400884,-5.538618134024644,45.769222669694564
0.05,0.008888837150174488,-0.005259833387308925,0.0033943202525121715,0.20855907282094727,-0.07856822909314481,-9.483546645859732,37.45592088864721,-5.684813223100471,45.87804129760462
0.06,0.008770271874666686,-0.005791688510984737,0.002937978688697241,0.20534128318776249,-0.09890312035583533,-9.489026781990937,37.47199639807645,-5.740659040446344,45.96661046815282
0.07,0.008226129953944892,-0.005904861853612482,0.003020556445357647,0.21791384796593563,-0.09202847298915653,-9.496108986872061,37.405825094003575,-5.479191092934897,45.95972409910141
0.08,0.008382015105736457,-0.00628202236107805,0.0035858403962527184,0.22169612089606344,-0.09056546738899808,-9.499960965627617,37.3609774299359,-5.890186101652493,46.15051179169489
0.09,0.008583492296180792,-0.005486796751799859,0.0028903544161894413,0.2153395755086877,-0.10298152722644155,-9.49375455134927,37.571376395149436,-5.764410245250642,46.03379891854714
0.1,0.009000453854047245,-0.00645213666234966,0.003313515296118026,0.21455299872031527,-0.09244133353557447,-9.485301524538054,37.53920781655264,-5.706572072154458,46.18546455325396
0.11,0.008825297329662246,-0.005241948400028549,0.0032991525148283055,0.23406599663159466,-0.09777603908911812,-9.500396355434207,37.472509256922116,-5.6073222568860634,45.930849300787706
0.12,0.00946218728958454,-0.005221040721450598,0.0041020232392514335,0.2085009111966644,-0.10234678971417782,-9.485041891504393,37.29632183782553,-5.630310091824441,45.78040916657383
0.13,0.008986334647185904,-0.005427453772172007,0.004093172740307711,0.20581743817542392,-0.09693370448740293,-9.485948522496695,37.47074651224216,-5.703471829745133,45.90144682631163
