t_s,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,mx_uT,my_uT,mz_uT
0.0,0.008583926154489606,-0.005675660289677692,0.0028658392522222876,0.219852564531194,-0.10266925208787446,-9.494239211898421,37.55187839561505,-5.628736630867156,45.97265427966304
0.01,0.008233084293846643,-0.005430483458606976,0.003220028367632007,0.2040068628964892,-0.0855282985171705,-9.49071437823063,37.450594615928054,-5.600448256379966,45.97456485954771
0.02,0.00880427841112109,-0.0053937960887663885,0.003652891394070941,0.202113980616414,-0.10541119274748414,-9.500247531289194,37.43292526814706,-5.803341371101355,45.96776625233954
0.03,0.009177546038011353,-0.005014707929540386,0.0032260616371135283,0.21581625763568357,-0.08792853489238962,-9.483940495900171,37.48506990514063,-5.402642523836791,45.96212222412638
0.04,0.008771403553240143,-0.006029616771787432,0.004194811045005605,0.22138803871345822,-0.09829740085633687,-9.504325350166294,37.305545053400884,-5.538618134024644,45.769222669694564
0.05,0.008888837150174488,-0.005259833387308925,0.003394323324930567,0.20855907282094727,-0.07856822909314481,-9.483373961130665,37.45592088864721,-5.684813223100471,45.87804129760462
0.06,0.008770271874666686,-0.005791688510984737,0.0029379817611156368,0.20534128318776249,-0.09890312035583533,-9.48885409726187,37.47199639807645,-5.740659040446344,45.96661046815282
0.07,0.008226129953944892,-0.005904861853612482,0.0030205595177760424,0.21791384796593563,-0.09202847298915653,-9.495936302142994,37.405825094003575,-5.479191092934897,45.95972409910141
0.08,0.008382015105736457,-0.00628202236107805,0.003585843468671114,0.22169612089606344,-0.09056546738899808,-9.49978828089855,37.3609774299359,-5.890186101652493,46.15051179169489
0.09,0.008583492296180792,-0.005486796751799859,0.002890357488607837,0.2153395755086877,-0.10298152722644155,-9.493581866620202,37.571376395149436,-5.764410245250642,46.03379891854714
0.1,0.009000453854047245,-0.00645213666234966,0.0033135183685364215,0.21455299872031527,-0.09244133353557447,-9.485128839808986,37.53920781655264,-5.706572072154458,46.18546455325396
0.11,0.008825297329662246,-0.005241948400028549,0.0032991555872467016,0.23406599663159466,-0.09777603908911812,-9.50022367070514,37.472509256922116,-5.6073222568860634,45.930849300787706
0.12,0.00946218728958454,-0.005221040721450598,0.00410202631166983,0.2085009111966644,-0.10234678971417782,-9.484869206775326,37.29632183782553,-5.630310091824441,45.78040916657383
0.13,0.008986334647185904,-0.005427453772172007,0.004093175812726107,0.20581743817542392,-0.09693370448740293,-9.485775837767628,37.47074651224216,-5.703471829745133,45.90144682631163
0.14,0.008387404794210927,-0.006183768556644822,0.0040841813042677136,0.2085837537622901,-0.10261231844588439,-9.480094271496675,37.58472710021266,-5.489121467277668,45.8923587116715
0.15,0.008897036488851848,-0.005672473069751728,0.003927228821301802,0.2016794847397687,-0.09690899506576112,-9.499699180480441,37.51613270505947,-5.626496841637228,45.977713709696
0.16,0.008459471671076151,-0.005995439249615233,0.003759052451638472,0.21616147941019484,-0.10103591078865937,-9.495285452735128,37.622106747459654,-5.841359295027609,45.85271430007308
0.17,0.008292739220431099,-0.005590996660286376,0.0028449603098898756,0.21326898435859276,-0.10659966880382801,-9.501662720507191,37.227316700274876,-5.6162112898239,45.91849559563244
0.18,0.008106734194454337,-0.00567699790705803,0.003652082466954756,0.21585109485460607,-0.09303762484760207,-9.487560633936795,37.54635916148961,-5.731232622399515,46.00113690434806
