t,roll_deg,pitch_deg,yaw_deg,err_roll_deg,err_pitch_deg,err_yaw_deg,bgx,bgy,bgz
0.0,-0.03285668532365723,0.17463389923287062,0.09470996287346498,-0.03285668532365232,0.1746338992328701,0.09470996287345397,2.9818739375583404e-05,3.878061370489272e-05,1.5449656622056787e-05
0.01,-0.016962433568467754,0.3695988429345091,0.19292058416159039,-0.017185555260256856,0.14041586969494696,0.08135985177450199,2.259431109040166e-05,6.402204019878223e-05,2.879743224021962e-05
0.02,0.004501158686296009,0.566910574590111,0.2876840906992803,0.0011974774472360628,0.10855073261093484,0.06376312951398337,1.5173604289607674e-05,8.631973120037543e-05,4.43558821632236e-05
0.03,0.004875389032019405,0.7188726071702389,0.3880367893280502,-0.004372656017783729,0.03135342600558505,0.050943836843157196,2.5649822190512438e-05,0.00014428206730850236,5.693059515147028e-05
0.04,0.02422198475387928,0.8935934498489894,0.48603293464350783,0.006159406087092,-0.023055982641648185,0.03494390843740845,2.291524544920265e-05,0.00018308653204341895,7.050551151700337e-05
0.05,0.033452928440445284,1.06913993306228,0.5796491769105738,0.0036992820009500286,-0.07659896971135634,0.013727622667956607,3.0451342234200618e-05,0.00022318672098863072,8.933698002600098e-05
0.06,0.03144314237242609,1.2292377608233986,0.6771626710659046,-0.012884468748804015,-0.1455380014965464,-0.004440287481889217,4.803627497858248e-05,0.0002734597812718652,0.00010517422745920266
0.07,0.0382244096983562,1.4218747312434397,0.7736114436428575,-0.02356642369120785,-0.18187331204619478,-0.024534265517654353,6.210392795698622e-05,0.0003000194750039393,0.0001237067588065982
0.08,0.04756469932970434,1.589475167769771,0.873958055856175,-0.03458497195858684,-0.24316847028787622,-0.041604266313343546,7.460810256702958e-05,0.0003456842921453253,0.0001390731087323416
0.09,0.07529607962765666,1.7845018833384534,0.9779099435505739,-0.030114399960670637,-0.27694841423480665,-0.05595541406242641,7.533791988411128e-05,0.00036899706398414354,0.00015170770328927068
0.1,0.07197395277235609,1.964651295733299,1.0751670100544999,-0.05960565629357785,-0.3255043339857095,-0.07790040725749481,0.00010364471042532435,0.00040408946736121673,0.0001701083771776898
0.11,0.10559798139996004,2.148729156313377,1.1774526647909342,-0.05506542429543354,-0.37001794135690463,-0.09572847784363206,0.00010370617119326171,0.00043572224402457766,0.00018726318673011248
0.12,0.125094259631108,2.3181826954644795,1.2804349139614464,-0.06757395012368227,-0.4290293227923842,-0.11378429822732426,0.00011887779030014315,0.00047702185716003886,0.00020352208776916878
0.13,0.1600721054748191,2.5070602095292007,1.3897342498115095,-0.06752824936692904,-0.46847735079874886,-0.12646008963053912,0.00012340179753014317,0.0005070087923567393,0.00021481042801701125
0.14,0.18959312766319553,2.699020362700851,1.494577389407862,-0.07587303913432031,-0.5046903804205373,-0.14454188085643369,0.00013581359268288368,0.0005312496894848932,0.00022978477177457713
0.15,0.2652414770982693,2.8404875097124878,1.5963431556092473,-0.04103048543818762,-0.591230924926667,-0.16666362478299698,0.00011154929253748256,0.000596247616715989,0.0002494492091287853
0.16,0.3181084551445341,3.0190433467110416,1.7008339085802953,-0.03191559363466702,-0.6405040033191952,-0.18703576423250254,0.00010737847683656784,0.0006314447677638488,0.00026619018735196524
0.17,0.3730701329234526,3.1905363303952616,1.8098132333665318,-0.02365858776297842,-0.6966477195869918,-0.2039075416959581,0.00010425469318354773,0.0006723531423254414,0.000282927772188494
0.18,0.43588569320589016,3.3726937350312314,1.922686757047789,-0.010506567185431116,-0.7419212040921918,-0.21788617939274812,0.00010036927649650961,0.0007038971302421053,0.00029637219903519315
0.19,0.48676775507986364,3.554434392734246,2.032618279289009,-0.01225318034803752,-0.7873918717024492,-0.2358207458440129,0.00010577183772376441,0.0007360268363960882,0.00031044005650936537
0.2,0.544019744015569,3.7053629686812912,2.140543032994456,-0.010601253037306527,-0.8634411450058802,-0.2567888922508067,0.00010923048137371591,0.0007926641520459305,0.00032753375480825265
0.21,0.623613161787189,3.8800084727674324,2.258434241766573,0.010414483328776283,-0.9155259410973868,-0.26883029197325375,9.836163788441416e-05,0.0008323697147737895,0.0003381190546228181
0.22,0.6814274763472942,4.023810857505996,2.373633828434724,0.006667283473984998,-0.9981920721379978,-0.28461592884284015,0.00010441287100713262,0.0008935964215315703,0.00035188724830753
0.23,0.7173149347268046,4.162903016278169,2.4864497834255985,-0.02199679682312074,-1.0852922455835965,-0.3038507255330084,0.0001279821474568977,0.0009574674024400527,0.000367369411326859
0.24,0.7738601612219674,4.330660470262996,2.59877115599685,-0.03299930041239608,-1.1434363757534567,-0.3246585489640449,0.0001396134437218949,0.0010014942878497656,0.0003844242563832682
0.25,0.8344213577970448,4.499031886462078,2.720681047018048,-0.04298816611994431,-1.2006610643265603,-0.3369692140551508,0.00015043122472311032,0.0010460985303855955,0.0003971756495890747
0.26,0.8833414185680096,4.662631305208937,2.835001161817373,-0.0676266118930458,-1.262337371377393,-0.3579739273026541,0.0001707964127007476,0.0010905805947925638,0.00041179086634354675
0.27,0.9776823131503498,4.829010259367537,2.953773938309376,-0.04985874895612104,-1.320898694748592,-0.37564315496586054,0.00015745119055432283,0.001135844050307105,0.0004247669752894939
0.28,1.0562095343435816,4.9665786040259166,3.0696459158328744,-0.05092513150246632,-1.4079199389569454,-0.3973432504292456,0.00016197300930146798,0.0011995811909006249,0.0004416014608008551
0.29,1.1458094481177936,5.10539353313547,3.193201490059872,-0.04394540395395382,-1.4933284971837104,-0.4125026953765984,0.00015815523278919216,0.0012633728579051224,0.000452920212192589
0.3,1.2435991596354337,5.212552850603402,3.313905164640659,-0.031808432052524455,-1.6100109788443184,-0.4316698441095768,0.0001492923124295453,0.0013515362532218573,0.0004672427041489417
