t,roll_deg,pitch_deg,yaw_deg,err_roll_deg,err_pitch_deg,err_yaw_deg,bgx,bgy,bgz
0.0,1.6371788062376054,2.3030659479641984,1.868928499827645,1.6371788062375965,2.3030659479641873,1.86892849982765,-0.00027797979813315145,-0.0003671408955598658,-0.00030093128239807584
0.01,0.4111139680681102,2.230006790757825,2.345619227106343,0.41089084637631984,2.0008238175182744,2.2340584947192546,0.004756603970919995,0.0017631384433532658,0.00014376606416257524
0.02,-0.021693542758264867,2.3833186088893012,2.7054463185635274,-0.02499722399734369,1.924958766910122,2.481525357378241,0.00949033902405915,0.0033389249808161757,-0.00037528923519270527
0.03,0.0979639960725144,2.9033377713701825,2.6800637305056947,0.08871595102272115,2.215818590205525,2.342970778020793,0.007714736997670154,-0.008585483371930686,0.0014472928226338766
0.04,-0.020780191921918798,3.1338055414658412,2.8165461909008047,-0.038842770588705444,2.217156108975208,2.365457164694725,0.012595212199113748,-0.008528867423980504,0.002422298976007688
0.05,0.010329126746505626,3.366265984106248,3.0640153569203505,-0.019424519693002757,2.2205270813326217,2.4980938026777184,0.0101587966643699,-0.008442184374058654,-0.003058795096376921
0.06,0.16297642126130893,3.642456055897381,3.148536312596229,0.11864881014009007,2.267680293577434,2.4669333540484404,0.001595763903456733,-0.013599745473924393,-0.0037582879934079942
0.07,0.24951404279399156,3.7456299848348005,3.322004906982695,0.18772320940443013,2.1418819415451766,2.5238591978221687,-0.0037096559141648663,0.0026417699542955995,-0.008453933999322533
0.08,0.3195628886421227,4.007363478493348,3.410916858295553,0.2374132173538501,2.174719840435698,2.49535453612605,-0.006579440595797393,-0.0025114692716201974,-0.0064411162255923055
0.09,0.28041864609171013,4.124057214873892,3.4714999071202466,0.17500816650338144,2.0626069173006187,2.4376345495072407,0.0027591583107647276,0.013426757933117116,0.000798643120251942
0.1,0.49801358968486553,4.301644087454832,3.5870053816935066,0.3664339806189452,2.01148845773582,2.433937964381503,-0.01710760075993204,0.019044196584652576,-0.00295514408438429
