t,roll_true_deg,pitch_true_deg,yaw_true_deg,gx_rad_s,gy_rad_s,gz_rad_s,ax_g,ay_g,az_g,mx,my,mz,temp_c
0.0,0.0,0.0,0.0,0.009524393709288195,0.39204134022067094,0.20016450629466662,0.014108470745868207,-0.029265527829807545,-1.0195326926029347,1.0681948765415508,-0.04808569509776773,-0.3884906316100939,25.0
0.01,0.00022312169177816763,0.22918297323955072,0.11156073238708851,0.010694220844599867,0.39706061627050043,0.20161723374391788,0.004990447269320542,0.01690472392751994,-0.9929793598794134,1.060032677157282,-0.042874829511290215,-0.3941075912942446,25.002499999895832
0.02,0.0033036812390710253,0.458359841979185,0.2239209611852957,0.01942789470256408,0.3946119976846471,0.20047639543513607,-0.0022141400940906032,0.01828046181014661,-1.0022859416321797,1.0660311411653407,-0.05175383325670696,-0.3753844790818289,25.004999999166667
0.03,0.00924804504980123,0.687519181164661,0.3370929524848977,0.022285068496541667,0.3957975810434943,0.2034658582537278,0.044123899434983606,-0.006257622460283483,-1.0076116350937272,1.063845011157082,-0.043773656991090995,-0.36559933217618784,25.0074999971875
0.04,0.018062578666788332,0.9166494324906376,0.4510890262060888,0.025229628055645603,0.3924818724052727,0.20155530265129765,0.025756760028432794,0.010833601448154286,-0.9917246622077053,1.0669752756323212,-0.04934328255887498,-0.3718963749353418,25.009999993333334
0.05,0.02975364643950368,1.1457389027736316,0.5659215542426232,0.03029924774858133,0.3969171414711334,0.20567317713393268,0.0301792869776386,0.000494490795158668,-0.9954631425441167,1.0815700188602826,-0.06799808493317178,-0.37242682929761833,25.012499986979172
0.06,0.04432761112122495,1.374775762319943,0.6816029585477836,0.03269304136398921,0.3929075204632001,0.20573968620253288,0.04641618088681276,-0.013760906722304185,-0.9851876745604238,1.0600341475108808,-0.05856688686207003,-0.3637621864411563,25.01499997750001
0.07,0.06179083338956179,1.603748043289632,0.7981457091605144,0.03965571788681781,0.3963764426052424,0.20990736001256435,0.022756152771369758,-0.00801330772628629,-0.9867380668661825,1.0765342711317607,-0.06979597828417275,-0.3728749120058183,25.017499964270854
0.08,0.08214967128828359,1.8326436380576494,0.9155623221695085,0.039908948255958566,0.39574038271892525,0.20957178735925383,0.04233749209248111,-0.007841838071020037,-0.9971093795062287,1.0862662645281072,-0.0619829146669732,-0.3531193373996709,25.019999946666708
0.09,0.10541047958833984,2.0614502975732703,1.0338653576130061,0.04477658241541602,0.3934027173691203,0.20956621468873016,0.018033738415979925,0.005466018965861201,-1.0063921660184103,1.081676742313573,-0.05596125701287642,-0.349359556795896,25.022499924062576
