t,roll_deg,pitch_deg,yaw_deg,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,mx_uT,my_uT,mz_uT
0.38,10.0,-2.981770013872047e-16,7.599992283039476,0.008696255303312979,0.05477501794874539,0.3480639996207158,0.2218729953639032,-1.7974978004862587,-9.345533543223654,36.67338703876681,-2.3779338867197746,46.79697165250486
0.39,9.999999999999998,-3.975693351829396e-16,7.799992079961565,0.008426887139298619,0.05492636771767191,0.3468571511560047,0.20233404082713602,-1.787952150115516,-9.340758858103829,36.559011078971885,-2.373308785779455,46.560293655740495
0.4,9.999999999999996,-3.975693351829396e-16,7.999991876883656,0.008080967498431782,0.05408092819295928,0.34807173056171864,0.213119625046625,-1.8074446478224042,-9.356580573802752,36.54381189103559,-2.409764764309224,46.763677078980756
0.41000000000000003,10.0,-2.981770013872047e-16,8.19999167380575,0.008140709610629404,0.05523465682841282,0.3472761472835621,0.21270885336243756,-1.804118669391103,-9.353247133352692,36.651310158324456,-2.504217686415004,46.65674978385589
0.42,9.999999999999998,-2.981770013872047e-16,8.399991470727839,0.008175865560754137,0.05520911100624929,0.3472679353461608,0.21729405948403135,-1.7866155625320095,-9.347453030008547,36.53322209253374,-2.5719345621369047,46.798971625591
0.43,9.999999999999993,-1.987846675914698e-16,8.599991267649926,0.008973231209730786,0.05525382604687932,0.3472690242426737,0.21399413201349737,-1.7951525003254496,-9.352705830500502,36.63651982754955,-2.5142300931646284,46.61994254691446
0.44,9.999999999999996,-9.93923337957349e-17,8.799991064572021,0.008238963729448854,0.05469118739487373,0.3471732199462133,0.21764883349156358,-1.7993491616041188,-9.341125527409107,36.55468763773587,-2.8476374724338083,46.75795684023623
0.45,9.999999999999995,9.93923337957349e-17,8.99999086149411,0.009025548209617157,0.054445113435209205,0.3467478156946407,0.2231033383993805,-1.7987175079385866,-9.347015440003407,36.313251413787825,-3.009565459193958,46.70298704192172
0.46,9.999999999999993,1.987846675914698e-16,9.1999906584162,0.008196393251330284,0.055063573277929066,0.3462793643289031,0.21552743381723619,-1.8013035208721282,-9.347315860511936,36.35653489910063,-3.046447887683476,46.80915055955738
0.47000000000000003,9.999999999999991,1.987846675914698e-16,9.39999045533829,0.008901982030195897,0.05531744516279101,0.34689390718430074,0.21152222093399026,-1.798374554813774,-9.329235161234243,36.44473514424878,-3.17184719009255,46.81594730352671
0.48,9.999999999999991,1.987846675914698e-16,9.599990252260385,0.008871169207056228,0.05480380032933768,0.34687377860802227,0.2169439020886935,-1.8028482659591007,-9.348310098175373,36.37484825614391,-3.2357051308413687,46.81572319366407
0.49,9.999999999999991,1.987846675914698e-16,9.799990049182476,0.008928684573569455,0.054779339952989635,0.3478744250901242,0.20064048228509973,-1.8164696214304357,-9.347443780383678,36.34719315444968,-3.2497187026255823,46.679276149551555
0.5,9.99999999999999,2.981770013872047e-16,9.999989846104564,0.007474584364327703,0.054682287591891754,0.34708872867548957,0.2020065049767223,-1.8063660748308727,-9.343246042393876,36.424156998547765,-3.427849699061769,46.886704031466444
0.51,9.999999999999991,2.981770013872047e-16,10.19998964302666,0.008317980242663068,0.055248687160753485,0.3472096921669295,0.21591056698505384,-1.8064820362890937,-9.339898511057095,36.13662456151086,-3.473574275907416,46.853296507384634
0.52,9.999999999999991,1.987846675914698e-16,10.39998943994875,0.008735981626231003,0.054792468372123815,0.3457175804128489,0.22759282129160113,-1.794025186908591,-9.338259468633977,36.21585933181956,-3.6813710827433495,46.99202543818975
0.53,9.999999999999991,3.975693351829396e-16,10.599989236870844,0.00876676176650673,0.05502161452695856,0.3475640073258509,0.21004038143711223,-1.8018017287462014,-9.3477150114363,36.08668264324018,-3.4789096881697317,46.82605006115937
0.54,9.999999999999991,1.987846675914698e-16,10.799989033792931,0.008874508973821681,0.05488115728006218,0.3471675121659023,0.21443535540111713,-1.8054400475106531,-9.338632083605097,36.13053664357207,-3.763642815278464,46.94785857248345
0.55,9.999999999999991,3.975693351829396e-16,10.99998883071502,0.00864131542404615,0.054309153044111685,0.3469699795814041,0.21684825940231456,-1.7944553105517835,-9.33784113627666,35.901454771936585,-3.957487892841856,47.004760121275254
0.56,9.99999999999999,1.987846675914698e-16,11.199988627637111,0.008693695933620644,0.05452432020078598,0.3474502570847445,0.2022469888835647,-1.7894866500125568,-9.346164439382326,36.1159483497463,-3.946990465126015,46.945397339883044
0.5700000000000001,9.999999999999991,1.987846675914698e-16,11.399988424559206,0.008994654347655293,0.054232442206725906,0.347316704650399,0.18986867138613334,-1.7866086544779118,-9.34302027515484,36.10737301883219,-4.091077596340851,46.919965388748935
0.58,9.99999999999999,1.987846675914698e-16,11.599988221481295,0.008191066333032179,0.05470675022585977,0.34752287440632307,0.20920062285574761,-1.7945648660294737,-9.331956751608486,35.826135528553465,-4.129336055848812,47.11774839158466
0.59,9.999999999999991,1.987846675914698e-16,11.799988018403388,0.008327049046751234,0.054534575323174427,0.3474861706221011,0.2194566693359454,-1.798102517773724,-9.349726449945384,35.765828529921734,-4.390854424829107,46.86432639819005
0.6,9.99999999999999,1.987846675914698e-16,11.999987815325477,0.008652623914048245,0.05512926411520252,0.3474462100882937,0.20467097754552357,-1.7961874323471279,-9.346282319617524,36.101922071542084,-4.402993842470285,47.07336596511016
0.61,9.999999999999991,1.987846675914698e-16,12.19998761224757,0.00799626073136112,0.05491441812213232,0.34744750916952116,0.22148374709190177,-1.8167385403968663,-9.345083945015215,35.77456522943074,-4.367988045180614,47.11979371879479
0.62,9.999999999999991,1.987846675914698e-16,12.399987409169661,0.008709641763084194,0.05535675728614937,0.3480711171955465,0.21127402784491822,-1.7939372682237893,-9.328159688161165,35.843968100255736,-4.561489322589678,47.21088699102017
0.63,9.999999999999993,1.987846675914698e-16,12.599987206091756,0.008682840762276772,0.0541039311669078,0.3471820034300773,0.21322991870106944,-1.7985565676052828,-9.33741850413082,35.88698741358867,-4.547036581195291,47.00405181597866
0.64,9.999999999999993,1.987846675914698e-16,12.799987003013847,0.009139114378742737,0.05525974040975557,0.34596027957954295,0.1955040881220403,-1.8016907754028733,-9.344840656269097,35.72668465762195,-4.558652711009877,47.13297754536796
0.65,9.99999999999999,3.975693351829396e-16,12.99998679993593,0.008751665232262925,0.05530645666779586,0.34666126827938054,0.2074979260355921,-1.8084190248733576,-9.337606112188213,35.63226603817538,-4.868105800196145,47.089859637475904
0.66,9.999999999999991,7.951386703658792e-16,13.199986596858023,0.00863388517726677,0.0550864279507968,0.3471690281020376,0.21062868440644644,-1.8001355933583472,-9.346770301458982,35.767459764572365,-4.777604078843472,46.97686851064513
0.67,9.999999999999991,7.951386703658792e-16,13.39998639378012,0.007894656532843717,0.05401696716011443,0.3470714963638773,0.21663315688493684,-1.7948086575221667,-9.368377344035162,35.74026795018347,-5.087974159625427,47.14505902681678
0.68,9.999999999999991,7.951386703658792e-16,13.599986190702205,0.008056326022794569,0.054521245279408874,0.3468284017982207,0.224044287429201,-1.8044377897684298,-9.354081388084019,35.60939269684725,-5.0350151256524045,47.17191948862521
0.6900000000000001,9.999999999999991,3.975693351829396e-16,13.799985987624302,0.008835563672724112,0.05506307407436634,0.34786479256154046,0.21946163787778417,-1.7915818996796375,-9.346152046999661,35.62824803391175,-5.131447241419986,47.28100762708278
0.7000000000000001,9.999999999999991,3.975693351829396e-16,13.99998578454639,0.0075355422659027504,0.05488294890883041,0.34775562391235265,0.21989832214095792,-1.8117154761149203,-9.343097080004705,35.465715981547724,-5.360354491115601,47.48597465769837
0.71,9.999999999999991,9.93923337957349e-16,14.199985581468479,0.008957486605677698,0.05521075715183859,0.3470880926338308,0.2206063349320819,-1.8058427500305363,-9.333554192688112,35.54713670440775,-5.375961551237555,47.42412995273128
0.72,9.999999999999991,7.951386703658792e-16,14.399985378390573,0.008211094909577476,0.055245108987871806,0.3467814292678385,0.20469077799527047,-1.8004887414661184,-9.338616522759501,35.34792282217264,-5.391325413063225,47.2520760047365
0.73,9.999999999999991,9.93923337957349e-16,14.59998517531266,0.008674483406421294,0.05443078328592801,0.3467319526937169,0.20847993208654142,-1.7941303795769634,-9.34513005661417,35.44038761206424,-5.590339378100467,47.334814432895136
0.74,9.99999999999999,7.951386703658792e-16,14.799984972234755,0.008435060408584218,0.05492882771389442,0.34693594030732866,0.2029691166682314,-1.7942970164699485,-9.344994364464569,35.24553921559379,-5.652225136237956,47.4342806126249
0.75,9.999999999999991,5.963540027744094e-16,14.999984769156848,0.008055322548102298,0.05426647133206963,0.3481322109686462,0.21949362968704,-1.7989673892310425,-9.346963824533972,35.171283283610364,-5.5835796030386975,47.39182513351426
0.76,9.99999999999999,9.93923337957349e-16,15.199984566078935,0.009296585892250311,0.054594442891144436,0.34677512669808885,0.22045271978458328,-1.81157402569842,-9.345239162150333,35.16700768311451,-5.785593584500422,47.41001646673522
0.77,9.999999999999988,9.93923337957349e-16,15.399984363001025,0.007750328675311919,0.054751807309491536,0.347516823800945,0.2000836814985178,-1.8039920611402471,-9.333217020325035,35.24054636419256,-5.930592806945959,47.34354644860206
0.78,9.99999999999999,9.93923337957349e-16,15.599984159923121,0.008911000153265002,0.05495809271741487,0.34681230893468423,0.21280202123637582,-1.7987865897183795,-9.340203428215785,35.21728393741131,-5.983583816269605,47.282856953668215
0.79,9.999999999999991,9.93923337957349e-16,15.799983956845214,0.008318576707305647,0.054612232056051056,0.34735935015204134,0.20920555094081153,-1.7955092515218067,-9.333345355603802,35.12955341192177,-6.0744936964478695,47.34819382474667
0.8,9.99999999999999,7.951386703658792e-16,15.999983753767303,0.008870763878408724,0.05541760588658367,0.3469825415510774,0.22136214855695144,-1.8136719513599961,-9.340875961038702,35.05929952997554,-6.243896213638621,47.490395537565696
0.81,9.99999999999999,5.963540027744094e-16,16.199983550689396,0.008570871381082567,0.054913701451107494,0.34693836740044703,0.2084767500738352,-1.7931462768279205,-9.334712751546364,35.052010355504606,-6.305374591043246,47.46593593838589
0.8200000000000001,9.999999999999991,3.975693351829396e-16,16.399983347611496,0.00816218986908137,0.05507332201886466,0.3471303949324232,0.2031162895588054,-1.8093676078695256,-9.34022593389489,34.93083010035186,-6.381592440327598,47.508622437896136
0.8300000000000001,9.999999999999991,3.975693351829396e-16,16.59998314453358,0.008512409425382384,0.054344714434310694,0.3470703498215848,0.2138235698961765,-1.8021750725323857,-9.33805179839325,35.08433871432136,-6.33232347263459,47.5182982850306
0.84,9.999999999999988,3.975693351829396e-16,16.79998294145567,0.008348858157336688,0.0546304645971659,0.3471385783909305,0.2223825520525336,-1.8121083876473953,-9.327006691086625,35.02044448734605,-6.62411809649054,47.37917636071716
0.85,9.99999999999999,5.963540027744094e-16,16.999982738377764,0.009116292688174835,0.05416569230019466,0.34748358482143354,0.21934176796551225,-1.808877111811698,-9.337286698271887,34.68920792323775,-6.692964052477935,47.45323746575596
0.86,9.999999999999991,5.963540027744094e-16,17.199982535299867,0.00813903469455026,0.05425395167001736,0.3470368963775833,0.20691057067212382,-1.7851516480681024,-9.350699353888913,34.90048478432175,-6.725260088086224,47.47772335960371
0.87,9.99999999999999,7.951386703658792e-16,17.39998233222195,0.00839716272029017,0.05496631772773825,0.34718208451691523,0.20986822435917823,-1.7977091582033193,-9.34243622606156,34.67781424303337,-6.86153134326064,47.446805245964974
0.88,9.999999999999988,5.963540027744094e-16,17.599982129144035,0.009061883535514919,0.054744961147067235,0.3475967798266248,0.22754107735488008,-1.79736830207314,-9.344305661497629,34.66327223027401,-6.743867673021832,47.646540692795924
0.89,9.99999999999999,5.963540027744094e-16,17.79998192606613,0.00788016853872324,0.05478533688600214,0.34660872674625365,0.20607400844572682,-1.7934624086695696,-9.341806285239318,34.77396090318666,-7.138951169625742,47.42858453643953
0.9,9.999999999999988,7.951386703658792e-16,17.999981722988213,0.009270552532696593,0.05502068020738563,0.3474991461972024,0.20648546849752267,-1.7767782615387355,-9.343784116453289,34.570105498347964,-7.041075008711213,47.775141810228114
0.91,9.999999999999991,9.93923337957349e-16,18.199981519910306,0.008876496584745866,0.054635943411204764,0.34741108755676303,0.2121697025845691,-1.7898641245703766,-9.354744215172808,34.31932052585033,-7.147589564043986,47.56892312766434
0.92,9.999999999999988,9.93923337957349e-16,18.3999813168324,0.009175306501952682,0.0554442265400701,0.3468166684173525,0.19859754699581902,-1.81253763919669,-9.351008968403633,34.4688731048135,-7.122516539446231,47.80336537302216
0.93,9.99999999999999,1.3914926731402886e-15,18.59998111375449,0.00849666440262652,0.05436131796135427,0.3465092462214432,0.21512822991332162,-1.7948527509398815,-9.348716806316201,34.285904501523355,-7.333784854838513,47.81486230210599
0.9400000000000001,9.999999999999988,1.3914926731402886e-15,18.79998091067658,0.008603591996350711,0.055196394114507774,0.3476832485235149,0.21129719857347315,-1.7941179126439502,-9.338439672904663,34.23174042819589,-7.270471290653149,47.7347387284825
0.9500000000000001,9.999999999999991,1.3914926731402886e-15,18.999980707598674,0.008186890398986159,0.05472101993624169,0.34717653730849596,0.22926104992010538,-1.802092389937327,-9.34130176585632,34.23714079721493,-7.556195203715968,47.71130584002968
0.96,9.99999999999999,1.3914926731402886e-15,19.19998050452076,0.00871721813389033,0.05513263092225117,0.3470507848337003,0.22264056050806674,-1.794382707362478,-9.342392519002528,34.0518503213115,-7.673247035176345,47.64666331505774
0.97,9.999999999999991,1.7890620083232284e-15,19.399980301442856,0.008489762590900148,0.05486914206975216,0.3469686588861812,0.2133342490731385,-1.8079327683786968,-9.330802174702388,34.127199082479265,-7.682174127667881,47.69411971636264
0.98,9.999999999999988,1.7890620083232284e-15,19.59998009836494,0.00759813966444719,0.05536125287440823,0.3470408256819356,0.22140468315127793,-1.7925972032797683,-9.34508244879219,34.24925091868194,-7.669089301268315,47.92364926024653
0.99,9.99999999999999,1.5902773407317584e-15,19.799979895287038,0.008830280143788604,0.055795731898291276,0.34659003653850745,0.2123012249803218,-1.8047687734664994,-9.340601198205567,34.164556936054424,-7.713819648822708,47.85055413050947
1.0,9.999999999999991,1.3914926731402886e-15,19.99997969220913,0.008295967838323568,0.054465933665543254,0.34758020351318647,0.2195962064321961,-1.7974755212007465,-9.352571253285358,33.993151006007906,-8.029202946215138,47.78349183604107
1.01,9.999999999999991,1.3914926731402886e-15,20.199979489131223,0.00958912256573387,0.0547361293006108,0.34703550351279616,0.21391084296144464,-1.7795447578894066,-9.34343427574458,33.82384397853404,-8.00932330404774,47.71458353324323
1.02,9.999999999999993,1.3914926731402886e-15,20.399979286053316,0.008937694374656009,0.055106574395632706,0.3474164050886685,0.20752843513808356,-1.8006069666113351,-9.340333073345855,33.92133072116393,-8.007982177137112,47.726252975437795
1.03,9.999999999999991,1.3914926731402886e-15,20.599979082975402,0.008579871591551021,0.05477370507536266,0.3483243062704512,0.21498760329452607,-1.8047844149726389,-9.339476238433129,34.056154888172145,-8.159856056596112,48.01747715650666
1.04,9.999999999999993,1.7890620083232284e-15,20.7999788798975,0.009105696327802604,0.05470729499805806,0.3469621848563481,0.20712263991737045,-1.8087970050299853,-9.346438181040014,33.711585389757666,-8.34167186959193,47.954663896257145
1.05,9.999999999999991,2.3854160110976376e-15,20.999978676819588,0.008462216834562974,0.054747558224246914,0.3475097862172499,0.21889650711229205,-1.8001495495888995,-9.34398441558876,33.90564663430892,-8.409218713982455,47.84550824034757
1.06,9.99999999999999,2.3854160110976376e-15,21.19997847374167,0.008473949711614836,0.05471839640284909,0.3477277475205902,0.22196419912950935,-1.7995601886557548,-9.34242504971863,33.7134529973166,-8.4867167233082,47.88949460849861
1.07,9.999999999999986,2.782985346280577e-15,21.399978270663755,0.008482219941008808,0.05528183505815595,0.34727883477670385,0.2166950520828985,-1.8028794748014725,-9.347777993091722,33.76213485346661,-8.569693517625883,48.1218428247132
